time,token,last_price,volume,oi
2025-09-04 12:07:33.144111+05:30,10388226,165.0,,1906800
2025-09-04 12:07:33.144191+05:30,10390530,163.8,,1445325
2025-09-04 12:07:33.144214+05:30,10390018,133.2,,5114475
2025-09-04 12:07:33.144225+05:30,10388738,133.15,,9116175
2025-09-04 12:07:33.144236+05:30,10389762,81.95,,14570625
2025-09-04 12:07:33.144249+05:30,10389250,105.6,,7452525
2025-09-04 12:07:33.144412+05:30,10388994,84.6,,8241450
2025-09-04 12:07:33.144430+05:30,10390274,62.95,,8041350
2025-09-04 12:07:33.144440+05:30,10388482,66.35,,3745950
2025-09-04 12:07:33.144452+05:30,10389506,106.6,,4087050
2025-09-04 12:07:33.393394+05:30,10388226,165.4,,1906800
2025-09-04 12:07:33.393426+05:30,10390530,163.7,,1445325
2025-09-04 12:07:33.393434+05:30,10390018,133.3,,5114475
2025-09-04 12:07:33.393441+05:30,10388738,133.35,,9116175
2025-09-04 12:07:33.393446+05:30,10389762,82.3,,14570625
2025-09-04 12:07:33.393452+05:30,10390274,63.1,,8041350
2025-09-04 12:07:33.393457+05:30,10388482,66.25,,3745950
2025-09-04 12:07:33.638349+05:30,10390018,133.0,,5114475
2025-09-04 12:07:33.638380+05:30,10388738,133.6,,9116175
2025-09-04 12:07:33.638388+05:30,10389762,82.25,,14570625
2025-09-04 12:07:33.638394+05:30,10389250,105.55,,7452525
2025-09-04 12:07:33.638400+05:30,10388994,84.5,,8241450
2025-09-04 12:07:33.638406+05:30,10389506,106.5,,4087050
2025-09-04 12:07:33.888450+05:30,10389250,105.8,,7452525
2025-09-04 12:07:33.888488+05:30,10390274,62.9,,8041350
2025-09-04 12:07:33.888496+05:30,10388482,66.25,,3745950
2025-09-04 12:07:33.888502+05:30,10389506,106.7,,4087050
2025-09-04 12:07:33.888509+05:30,10388226,165.4,,1906800
2025-09-04 12:07:33.888515+05:30,10390530,163.7,,1445325
2025-09-04 12:07:34.143378+05:30,10388738,133.85,,9116175
2025-09-04 12:07:34.143410+05:30,10389762,82.2,,14570625
2025-09-04 12:07:34.143418+05:30,10389250,105.75,,7452525
2025-09-04 12:07:34.143425+05:30,10388994,84.4,,8241450
2025-09-04 12:07:34.143431+05:30,10389506,106.65,,4087050
